Customer ID,Country,sum_price,sum_quantity,monetary,frequency,recency,R2,F2,M2,RFM Score2,new_label
12346.0,United Kingdom,169.36,24,169.36,0.01680231031766868,164.25555555555556,4,3,1,431,Potential loyalist
12347.0,Iceland,162.95,828,1323.3199999999997,0.052596015121354346,2.2111111111111112,1,5,4,154,Cant loose them
12348.0,Finland,14.389999999999995,373,222.16000000000003,0.0,73.20972222222223,4,1,1,411,Promising
12349.0,Italy,875.34,993,2671.1400000000012,0.016411939686121653,42.484722222222224,3,3,5,335,Needing attention
12351.0,Unspecified,49.46,261,300.93,0.0,10.193055555555556,1,1,2,112,Lost
12352.0,Norway,54.60000000000001,188,343.79999999999995,0.1111668660979658,10.4125,1,5,2,152,Cant loose them
12353.0,Bahrain,38.78000000000001,192,317.75999999999993,0.0,43.303472222222226,3,1,2,312,About to sleep
12355.0,Bahrain,52.78,303,488.2099999999999,0.0,202.3347222222222,5,1,2,512,New customers
12356.0,Portugal,261.3800000000001,1826,3562.249999999998,0.06650041562759768,15.317361111111111,2,5,5,255,At risk
12357.0,Switzerland,1395.6399999999994,3879,12079.98999999999,1.6901408450704225,23.230555555555554,2,5,5,255,At risk
12358.0,Austria,256.1299999999999,831,2719.0100000000016,0.008400469026187296,10.378472222222221,1,2,5,125,Lost
12359.0,Cyprus,553.6899999999999,1130,2563.3599999999988,0.019360737142140077,60.364583333333336,3,3,5,335,Needing attention
12360.0,Austria,238.2199999999999,1294,1590.83,0.018046379194529942,14.372916666666667,2,3,4,234,At risk
12361.0,Belgium,78.89999999999999,144,321.35,0.013572869342281373,97.19583333333334,4,3,2,432,Potential loyalist
12362.0,Belgium,130.0,1,130.0,0.0,373.41041666666666,5,1,1,511,New customers
12366.0,Cyprus,5.07,296,500.24,0.0,268.3979166666667,5,1,2,512,New customers
12368.0,Cyprus,79.05,330,917.6999999999999,0.0,263.1701388888889,5,1,3,513,New customers
12369.0,Austria,292.85,1241,1791.15,0.013088370740220078,48.28333333333333,3,3,4,334,Needing attention
12370.0,Austria,224.36,252,774.6200000000001,0.06651372615436728,259.32708333333335,5,5,3,553,Loyal customers
12371.0,Switzerland,421.85000000000014,845,2179.4199999999996,0.012668844613101696,44.266666666666666,3,3,5,335,Needing attention
12373.0,Austria,171.85000000000002,319,763.0500000000002,0.03994396749004868,259.2583333333333,5,5,3,553,Loyal customers
12374.0,Austria,149.47000000000003,1020,2246.2900000000004,0.017859357559221134,56.270833333333336,3,3,5,335,Needing attention
12376.0,Switzerland,104.39999999999999,240,503.15,0.06861553856050318,24.323611111111113,2,5,2,252,At risk
12377.0,Switzerland,207.16999999999987,1161,1798.1999999999996,0.00956207045386633,16.025694444444444,2,2,4,224,Lost
12378.0,Switzerland,360.9699999999999,787,1407.7000000000003,0.0,197.24583333333334,5,1,4,514,New customers
12379.0,Belgium,120.90000000000006,408,767.9799999999999,0.017686398054496216,57.21875,3,3,3,333,Needing attention
12380.0,Belgium,2389.4399999999982,2228,6951.489999999998,0.03533259256403156,100.21319444444444,4,4,5,445,Loyal customers
12385.0,Belgium,239.24999999999986,612,1938.3999999999999,0.0,14.199305555555556,1,1,4,114,Lost
12386.0,Australia,21.81,214,258.90000000000003,0.0,1.4222222222222223,1,1,2,112,Lost
12387.0,Australia,24.86,134,143.94,0.0,50.14861111111111,3,1,1,311,About to sleep
12388.0,Australia,134.64,539,1120.45,0.014493701782020765,80.30555555555556,4,3,4,434,Potential loyalist
12389.0,Australia,130.06000000000003,614,1433.33,0.01180789215458499,37.33958333333333,3,3,4,334,Needing attention
12391.0,Cyprus,808.2600000000006,920,2312.5299999999993,0.025112833355423324,99.30763888888889,4,4,5,445,Loyal customers
12392.0,Australia,35.25,73,234.75000000000003,0.0,226.24791666666667,5,1,1,511,New customers
